Variables	Accuracy	Kappa	AccuracySD	KappaSD
2	0.593491214667685	0.164197585080431	0.096913635024158	0.1924135811407
4	0.566758339699516	0.0977281063591995	0.0810695408285971	0.163629855743173
6	0.558454290807232	0.0828053476223765	0.074692818322267	0.155687801199013
8	0.561038961038961	0.0930183199154366	0.0793481964043219	0.156183432808294
10	0.581815635345047	0.133875202806331	0.074828434013755	0.145710394511313
12	0.602765469824293	0.176321647360464	0.0854853481454607	0.17047338882721
14	0.611762159409218	0.196555951608261	0.0904342961633539	0.181679467820564
16	0.629414311179017	0.238758876761108	0.0812808478025256	0.156838669086224
18	0.643852813852814	0.268225719207794	0.0948117881455044	0.190074689677707
20	0.638237840590782	0.254924015885591	0.0762151966488575	0.154299485931601
22	0.658563789152025	0.299427144138836	0.0779576601349884	0.155043120934814
24	0.640901451489687	0.262671159336791	0.104622517215396	0.20951109820518
26	0.661247771836007	0.30618697535303	0.0944775987144396	0.190140269536172
28	0.676299974535269	0.336169883626937	0.101202120190353	0.209394294254045
30	0.679335370511841	0.341958176461469	0.0838826668622856	0.171366424403769
31	0.691021135727018	0.368745850518159	0.0820265716276126	0.165554232594798
